ATTRLABL,ATTRDEF,ATTRDEFS,UDOM,EDOMV,EDOMVD,EDOMVDS,CODESETN,CODESETS,RDOMMIN,RDOMMAX,ATTRUNIT,
OBJECTID,Internal feature number,Esri,Sequential unique whole numbers that are automatically generated.,,,,,,,,,
id,Unique identifier,USACE,Unique ID,,,,,,,,,
federalId,The unique identifier for each dam record.,USACE,"For most dams, federalID is the NID ID of the dam. For saddle dams, dikes, or other separate structures associated with a dam, it's a concatenation of the primary dam's NID ID and the Other Structure ID.",,,,,,,,,
name,"The official name of the dam. For dams that do not have an official name, the popular name is used.",USACE,Freetext,,,,,,,,,
latitude,"Dam latitude as a single value, in decimal degrees.",USACE,,,,,,,-90,90,decimal degrees,
longitude,"Dam longitude as a single balue, in decimal degrees",USACE,,,,,,,-180,180,decimal degrees,
hazardId,Category indicating potential hazard to the downstream area resulting from failure or mis-operation of the dam or facilities. This does not speak to the condition of the dam or the risk of the dam railing.,USACE,,1,Undetermined Hazard Potential,USACE,,,,,,
,,,,2,Low Hazard Potential,USACE,,,,,,
,,,,3,Significant Hazard Potential,USACE,,,,,,
,,,,4,High Hazard Potential,USACE,,,,,,
,,,,None,Not Specified,USACE,,,,,,
ownerNames,"The name of the owner of the dam. If multiple owners, different owners are separated by a semi-colon.",USACE,Freetext,,,,,,,,,
primaryPurposeId,"A code or codes indicating the purposes for which reservoir is used, in order of importance. The codes are concatenated if the dam has multiple purposes. For example, SCR would indicate the primary purposes of Water Supply and Flood Control and Storm Water Management, followed by Recreation. The data may contain words or abbreviations that were used instead of the appropriate codes; these have been retained.",USACE,,1,Tailings,USACE,,,,,,
,,,,2,Irrigation,USACE,,,,,,
,,,,3,Navigation,USACE,,,,,,
,,,,4,Fish and Wildlife Pond,USACE,,,,,,
,,,,5,Recreation,USACE,,,,,,
,,,,6,Hydroelectric,USACE,,,,,,
,,,,7,Debris control,USACE,,,,,,
,,,,8,Water Supply,USACE,,,,,,
,,,,9,Flood Risk Reduction,USACE,,,,,,
,,,,10,"Fire Protection, Stock, Or Small Fish Pond",USACE,,,,,,
,,,,11,Grade Stabilization,USACE,,,,,,
,,,,12,Other,USACE,,,,,,
,,,,None,No purpose specified,USACE,,,,,,
nidHeight,"Maximum value of dam height, structural height, and hydraulic height.",USACE,,,,,,,0,1026,Feet,
eapId,Identifies whether this dam has an Emergency Action Plan (EAP) developed by the dam owner.,USACE,,1,Yes,USACE,,,,,,
,,,,2,No,USACE,,,,,,
,,,,3,Not Required,USACE,,,,,,
,,,,None,Not Specified,USACE,,,,,,
otherStructureId,"Identification number of a separate structure, such as a saddle dam or dike, associated with the dam project.",,"Unique sequential identifier per each unique dam (S001, S002, etc.). No value where there are no separate structures.",,,,,,,,,
otherNames,The reservoir name or names in common use other than the official name of the dam. Names are separated with semicolons.,USACE,Freetext,,,,,,,,,
formerNames,"Previous reservoir or dam name(s), if changed. Multiple names are seperated by semi-colon.",USACE,Freetext,,,,,,,,,
nidId,"The official National Inventory of Dams identification number for the dam, known formerly as the National Id. The first two characters of the identity are the State two letter abbreviation, based on the location of the dam. The last five characters of the identity are a unique number (AB#####).",USACE,"The first two characters of the identity are the State two letter abbreviation, based on the location of the dam. The last five characters of the identity are a unique number (AB#####).",,,,,,,,,
ownerTypeIds,Category describing the dam owner(s).,USACE,,1,Private,USACE,,,,,,
,,,,2,Public Utility,USACE,,,,,,
,,,,3,Federal,USACE,,,,,,
,,,,4,State,USACE,,,,,,
,,,,5,Local Government,USACE,,,,,,
,,,,6,Not Listed,USACE,,,,,,
,,,,7,Tribe,USACE,,,,,,
,,,,None,Not Specified,USACE,,,,,,
primaryOwnerTypeID,"Category describing the owner type. If more than one owner type, the main owner type is used.",USACE,,1,Private,USACE,,,,,,
,,,,2,Public Utility,USACE,,,,,,
,,,,3,Federal,USACE,,,,,,
,,,,4,State,USACE,,,,,,
,,,,5,Local Government,USACE,,,,,,
,,,,6,Not Listed,USACE,,,,,,
,,,,7,Tribe,USACE,,,,,,
,,,,None,Not Specified,USACE,,,,,,
separateStructuresCount,"Numer of separate structures associated with this dam project. Includes saddle dams (or dikes). Not included is the number of appurtenant works which includes spillways, low level outlet works, and water conduits such as tunnels, pipelines, or penstocks.",USACE,,,,,,,0,60,,
isAssociatedStructureId,Whether there is an Other Structure ID to indicate the dam is a separate/associated structure to a primary dam.,USACE,,0,No,USACE,,,,,,
,,,,1,Yes,USACE,,,,,,
designerNames,"Name of the principal firm(s) or agency accomplishing the design of the dam and major appurtenant operating features, and major modifications. Original designer is listed first, then modification designers (if applicable). Names are seperated by semi-colon. If firm designed the dam under a state or federal government contract, the state or federal agency is listed first; then the company name second separated by a semi-colon.",USACE,Freetext,,,,,,,,,
nonFederalDamOnFederalId,Indicating whether this dam is a non-federal dam located on federal property.,USACE,,0,No,USACE,,,,,,
,,,,1,Yes,USACE,,,,,,
,,,,None,Not Specified,USACE,,,,,,
purposeIds,"Category describing the main purpose for which the reservoir is used. If more than one purpose, the most important is used.",USACE,,1,Tailings,USACE,,,,,,
,,,,2,Irrigation,USACE,,,,,,
,,,,3,Navigation,USACE,,,,,,
,,,,4,Fish and Wildlife Pond,USACE,,,,,,
,,,,5,Recreation,USACE,,,,,,
,,,,6,Hydroelectric,USACE,,,,,,
,,,,7,Debris control,USACE,,,,,,
,,,,8,Water Supply,USACE,,,,,,
,,,,9,Flood Risk Reduction,USACE,,,,,,
,,,,10,"Fire Protection, Stock, Or Small Fish Pond",USACE,,,,,,
,,,,11,Grade Stabilization,USACE,,,,,,
,,,,12,Other,USACE,,,,,,
sourceAgency,Primary state or federal agency responsible for providing and updating the NID data for that particular dam.,USACE,Name of federal agency or State,,,,,,,,,
stateFedID,The State or Agency identification number for the dam (if applicable).,USACE,Unique identifer per state or agency records.,,,,,,,,,
state,State where dam is located,USGS,,,,,Geographic Names Information System (GNIS),U.S. Geological Survey (USGS),,,,
county,"The name of the county in which the dam is located. If the dam falls in more than one county, the names may be separated by a slash, a comma, or a semicolon. ",USGS,,,,,Geographic Names Information System (GNIS),U.S. Geological Survey (USGS),,,,
countyState,County and State where dam is located,USGS,Concatenation of county and state seperated by a comma,,,,,,,,,
city,"The name of the nearest city, town, or village that is most likely to be affected by floods resulting from the failure of the dam.",USGS,,,,,Geographic Names Information System (GNIS),U.S. Geological Survey (USGS),,,,
distance,"Distance from the dam to the nearest affected downstream city/town/village (listed in city), to the nearest mile (and tenth if appropriate).",USACE,,,,,,,0,2005,mile,
riverName,"The official name of the river or stream on which the dam is built. If the stream is unnamed, it is identified as a tributary (""TR"") to a named river. If the dam is located offstream, the name of the river or stream is entered plus ""-OS"" or ""OFFSTREAM"".",USGS,,,,,Geographic Names Information System (GNIS),U.S. Geological Survey (USGS),,,,
congDist,"Congressional District where dam is located based on provided coordinates. If no coordinates are provided, then this field will be left blank.",USCB,,,,,U.S. Congressional Districts,U.S. Census Bureau (USCB),,,,
stateRegulatedId,"Based on State Permitting Authority, State Inspection Authority, State Enforcement Authority, and State Jursidictional Dam. If Yes to all four criteria, then the dam is considered state regulated and listed as Yes. Otherwise, the dam is not considered state regulated.",USACE,,0,No,USACE,,,,,,
,,,,1,Yes,USACE,,,,,,
fedRegulatedId,"Based on the data field ""Federal Agency Involvement Regulatory"". If a Federal Agency is listed as being involved in the regulatory aspects of the dam, then the dam is listed as Yes, federally regulated.",USACE,,0,No,USACE,,,,,,
,,,,1,Yes,USACE,,,,,,
jurisdictionAuthorityId,"If Yes, the dam meets the state regulatory organization's definition of a jurisdictional dam.",USACE,,0,No,USACE,,,,,,
,,,,1,Yes,USACE,,,,,,
,,,,None,Not Specified,USACE,,,,,,
stateRegulatoryAgency,Name of the primary state agency with regulatory or approval authority for the dam.,USACE,Name or acronym for state agency.,,,,,,,,,
permittingAuthorityId,"If Yes, the state regulatory organization has the authority to review and approve plans and specifications to construct, enlarge, remove, and abandon dams (from the National Dam Safety Program Act of 2018).",USACE,,0,No,USACE,,,,,,
,,,,1,Yes,USACE,,,,,,
,,,,None,Not Specified,USACE,,,,,,
inspectionAuthorityId,"If Yes, the state regulatory organization has the authority to require or perform the inspection, at least once every five years, of all dams and reservoirs that would pose a significant threat to human life and property in case of failure to determine the continued safety of the dams and reservoirs (from the National Dam Safety Program Act of 2018).",USACE,,0,No,USACE,,,,,,
,,,,1,Yes,USACE,,,,,,
,,,,None,Not Specified,USACE,,,,,,
enforcementAuthorityId,"If Yes, the state regulatory organization has the authority to issue notices, when applicable, to require owners of dams to perform necessary maintenance or remedial work, revise operating procedures, or take other actions, including breaching dams when necessary (from the National Dam Safety Program Act of 2018).",USACE,,0,No,USACE,,,,,,
,,,,1,Yes,USACE,,,,,,
,,,,None,Not Specified,USACE,,,,,,
fedOwnerIds,"Federal agency that owns the dam (or a component of the dam). If multiple agencies are involved in owning the dam, agencies are separated by semi-colon.",USACE,,1,U.S. Army Corps of Engineers,USACE,,,,,,
,,,,2,U.S. Army,USACE,,,,,,
,,,,3,U.S. Air Force,USACE,,,,,,
,,,,4,U.S. Marine Corps,USACE,,,,,,
,,,,5,U.S. Navy,USACE,,,,,,
,,,,6,U.S. Department of Energy,USACE,,,,,,
,,,,7,Bureau of Indian Affairs,USACE,,,,,,
,,,,8,Bureau of Land Management,USACE,,,,,,
,,,,9,Bureau of Reclamation,USACE,,,,,,
,,,,10,U.S. Fish and Wildlife Service,USACE,,,,,,
,,,,11,National Park Service,USACE,,,,,,
,,,,12,Mine Safety and Health Administration,USACE,,,,,,
,,,,13,Federal Energy Regulatory Commission,USACE,,,,,,
,,,,14,International Boundary and Water Commission,USACE,,,,,,
,,,,15,Tennessee Valley Authority,USACE,,,,,,
,,,,16,Nuclear Regulatory Commission,USACE,,,,,,
,,,,17,U.S. Forest Service,USACE,,,,,,
,,,,18,National Resources Conservation Service,USACE,,,,,,
,,,,None,Not Specified,USACE,,,,,,
fedFundingIds,"Federal agency that was involved in funding of the dam. If multiple agencies were/are involved with the funding, agencies are separated by semi-colon.",USACE,,1,U.S. Army Corps of Engineers,USACE,,,,,,
,,,,2,U.S. Army,USACE,,,,,,
,,,,3,U.S. Air Force,USACE,,,,,,
,,,,4,U.S. Marine Corps,USACE,,,,,,
,,,,5,U.S. Navy,USACE,,,,,,
,,,,6,U.S. Department of Energy,USACE,,,,,,
,,,,7,Bureau of Indian Affairs,USACE,,,,,,
,,,,8,Bureau of Land Management,USACE,,,,,,
,,,,9,Bureau of Reclamation,USACE,,,,,,
,,,,10,U.S. Fish and Wildlife Service,USACE,,,,,,
,,,,11,National Park Service,USACE,,,,,,
,,,,12,Mine Safety and Health Administration,USACE,,,,,,
,,,,13,Federal Energy Regulatory Commission,USACE,,,,,,
,,,,14,International Boundary and Water Commission,USACE,,,,,,
,,,,15,Tennessee Valley Authority,USACE,,,,,,
,,,,16,Nuclear Regulatory Commission,USACE,,,,,,
,,,,17,U.S. Forest Service,USACE,,,,,,
,,,,18,National Resources Conservation Service,USACE,,,,,,
,,,,None,Not Specified,USACE,,,,,,
fedDesignIds,"Federal agency that was involved i nthe design of the dam. If multiple agencies were/are invovled with the design, agencies are separated by semi-colon.",USACE,,1,U.S. Army Corps of Engineers,USACE,,,,,,
,,,,2,U.S. Army,USACE,,,,,,
,,,,3,U.S. Air Force,USACE,,,,,,
,,,,4,U.S. Marine Corps,USACE,,,,,,
,,,,5,U.S. Navy,USACE,,,,,,
,,,,6,U.S. Department of Energy,USACE,,,,,,
,,,,7,Bureau of Indian Affairs,USACE,,,,,,
,,,,8,Bureau of Land Management,USACE,,,,,,
,,,,9,Bureau of Reclamation,USACE,,,,,,
,,,,10,U.S. Fish and Wildlife Service,USACE,,,,,,
,,,,11,National Park Service,USACE,,,,,,
,,,,12,Mine Safety and Health Administration,USACE,,,,,,
,,,,13,Federal Energy Regulatory Commission,USACE,,,,,,
,,,,14,International Boundary and Water Commission,USACE,,,,,,
,,,,15,Tennessee Valley Authority,USACE,,,,,,
,,,,16,Nuclear Regulatory Commission,USACE,,,,,,
,,,,17,U.S. Forest Service,USACE,,,,,,
,,,,18,National Resources Conservation Service,USACE,,,,,,
,,,,None,Not Specified,USACE,,,,,,
fedConstructionIds,"Federal agency that was involved in the construction of the dam. If multiple agencies were/are involved with the constructed, agencies are separated by semi-colon.",USACE,,1,U.S. Army Corps of Engineers,USACE,,,,,,
,,,,2,U.S. Army,USACE,,,,,,
,,,,3,U.S. Air Force,USACE,,,,,,
,,,,4,U.S. Marine Corps,USACE,,,,,,
,,,,5,U.S. Navy,USACE,,,,,,
,,,,6,U.S. Department of Energy,USACE,,,,,,
,,,,7,Bureau of Indian Affairs,USACE,,,,,,
,,,,8,Bureau of Land Management,USACE,,,,,,
,,,,9,Bureau of Reclamation,USACE,,,,,,
,,,,10,U.S. Fish and Wildlife Service,USACE,,,,,,
,,,,11,National Park Service,USACE,,,,,,
,,,,12,Mine Safety and Health Administration,USACE,,,,,,
,,,,13,Federal Energy Regulatory Commission,USACE,,,,,,
,,,,14,International Boundary and Water Commission,USACE,,,,,,
,,,,15,Tennessee Valley Authority,USACE,,,,,,
,,,,16,Nuclear Regulatory Commission,USACE,,,,,,
,,,,17,U.S. Forest Service,USACE,,,,,,
,,,,18,National Resources Conservation Service,USACE,,,,,,
,,,,None,Not Specified,USACE,,,,,,
fedRegulatoryIds,"Federal agency that is involved in the regulation of the dam. If multiple agencies are involved in regulating the dam, agencies are separated by semi-colon.",USACE,,1,U.S. Army Corps of Engineers,USACE,,,,,,
,,,,2,U.S. Army,USACE,,,,,,
,,,,3,U.S. Air Force,USACE,,,,,,
,,,,4,U.S. Marine Corps,USACE,,,,,,
,,,,5,U.S. Navy,USACE,,,,,,
,,,,6,U.S. Department of Energy,USACE,,,,,,
,,,,7,Bureau of Indian Affairs,USACE,,,,,,
,,,,8,Bureau of Land Management,USACE,,,,,,
,,,,9,Bureau of Reclamation,USACE,,,,,,
,,,,10,U.S. Fish and Wildlife Service,USACE,,,,,,
,,,,11,National Park Service,USACE,,,,,,
,,,,12,Mine Safety and Health Administration,USACE,,,,,,
,,,,13,Federal Energy Regulatory Commission,USACE,,,,,,
,,,,14,International Boundary and Water Commission,USACE,,,,,,
,,,,15,Tennessee Valley Authority,USACE,,,,,,
,,,,16,Nuclear Regulatory Commission,USACE,,,,,,
,,,,17,U.S. Forest Service,USACE,,,,,,
,,,,18,National Resources Conservation Service,USACE,,,,,,
,,,,None,Not Specified,USACE,,,,,,
fedInspectionIds,"Federal agency that is involved in the inspection of the dam. If multiple agencies are involved in inspecting the dam, agencies are separated by semi-colon.",USACE,,1,U.S. Army Corps of Engineers,USACE,,,,,,
,,,,2,U.S. Army,USACE,,,,,,
,,,,3,U.S. Air Force,USACE,,,,,,
,,,,4,U.S. Marine Corps,USACE,,,,,,
,,,,5,U.S. Navy,USACE,,,,,,
,,,,6,U.S. Department of Energy,USACE,,,,,,
,,,,7,Bureau of Indian Affairs,USACE,,,,,,
,,,,8,Bureau of Land Management,USACE,,,,,,
,,,,9,Bureau of Reclamation,USACE,,,,,,
,,,,10,U.S. Fish and Wildlife Service,USACE,,,,,,
,,,,11,National Park Service,USACE,,,,,,
,,,,12,Mine Safety and Health Administration,USACE,,,,,,
,,,,13,Federal Energy Regulatory Commission,USACE,,,,,,
,,,,14,International Boundary and Water Commission,USACE,,,,,,
,,,,15,Tennessee Valley Authority,USACE,,,,,,
,,,,16,Nuclear Regulatory Commission,USACE,,,,,,
,,,,17,U.S. Forest Service,USACE,,,,,,
,,,,18,National Resources Conservation Service,USACE,,,,,,
,,,,None,Not Specified,USACE,,,,,,
fedOperationIds,"Federal agency that is involved in the operation of the dam. If multiple agencies are involved in operating the dam, agencies are separated by semi-colon.",USACE,,1,U.S. Army Corps of Engineers,USACE,,,,,,
,,,,2,U.S. Army,USACE,,,,,,
,,,,3,U.S. Air Force,USACE,,,,,,
,,,,4,U.S. Marine Corps,USACE,,,,,,
,,,,5,U.S. Navy,USACE,,,,,,
,,,,6,U.S. Department of Energy,USACE,,,,,,
,,,,7,Bureau of Indian Affairs,USACE,,,,,,
,,,,8,Bureau of Land Management,USACE,,,,,,
,,,,9,Bureau of Reclamation,USACE,,,,,,
,,,,10,U.S. Fish and Wildlife Service,USACE,,,,,,
,,,,11,National Park Service,USACE,,,,,,
,,,,12,Mine Safety and Health Administration,USACE,,,,,,
